r	g(r)
0.0034232659844072883	0.0
0.010269797953221865	0.0
0.01711632992203644	0.0
0.02396286189085102	0.0
0.030809393859665593	0.0
0.03765592582848017	0.0
0.044502457797294746	0.0001784711840483476
0.051348989766109326	0.0002640793129821078
0.0581955217349239	0.0014413404519485634
0.06504205370373847	0.003304466140078744
0.07188858567255306	0.007382094672596779
0.07873511764136763	0.016069882292633265
0.0855816496101822	0.02741822329844805
0.09242818157899678	0.045396491422162344
0.09927471354781137	0.07137849184159369
0.10612124551662594	0.09840726970197547
0.11296777748544051	0.14024583540193622
0.11981430945425509	0.18575069406474748
0.12666084142306966	0.24201569030470213
0.13350737339188423	0.3047671154820407
0.14035390536069883	0.37698518106268636
0.1472004373295134	0.45024250720579534
0.15404696929832798	0.5262088403700311
0.16089350126714255	0.6102947170239766
0.16774003323595713	0.6936424261189132
0.1745865652047717	0.7732442007966271
0.18143309717358627	0.8507978825021449
0.18827962914240085	0.8970103774915346
0.19512616111121545	0.9775397123615639
0.20197269308003002	1.02367500270873
0.2088192250488446	1.048520418441861
0.21566575701765917	1.0782906268722454
0.22251228898647374	1.1128601152024673
0.2293588209552883	1.1134034290443762
0.23620535292410288	1.1296907048940021
0.24305188489291746	1.128758537955079
0.24989841686173206	1.130051064293441
0.2567449488305466	1.127393444505243
0.2635914807993612	1.1095700212546336
0.27043801276817575	1.0970865851051155
0.2772845447369904	1.0938671645046714
0.28413107670580495	1.0693811100934976
0.2909776086746195	1.0520913171745503
0.2978241406434341	1.0467544586785225
0.30467067261224867	1.022420573884707
0.31151720458106325	1.0169978321480049
0.3183637365498778	1.0019698510122494
0.3252102685186924	0.9951020787321833
0.33205680048750696	0.9950625190329142
0.33890333245632154	0.9801172233274685
0.3457498644251361	0.9846699570218174
0.3525963963939507	0.9786231768280704
0.35944292836276526	0.9767372204299598
0.36628946033157983	0.9707738884665209
0.3731359923003944	0.9791648193291721
0.379982524269209	0.9772688311682891
0.3868290562380236	0.9823482524288811
0.3936755882068382	0.9775325514007884
0.40052212017565275	0.9772114714996736
0.4073686521444673	0.978036994714787
0.4142151841132819	0.9901491713649314
0.42106171608209647	0.9874824946298014
0.42790824805091104	0.9921175337592091
0.4347547800197256	0.9956133937226113
0.4416013119885402	0.9927039670566914
0.44844784395735476	0.9932739315991037
0.45529437592616934	0.9958503223623825
0.4621409078949839	0.999029646298846
0.4689874398637985	0.9998193554282432
0.47583397183261306	1.0051231837150774
0.48268050380142763	0.9948212869290052
0.4895270357702422	1.00639504961617
0.49637356773905683	0.9992052221836185
0.5032200997078714	1.0020435637368736
0.510066631676686	1.0025962910347108
0.5169131636455006	1.0022525715023587
0.5237596956143151	1.003144475414604
0.5306062275831297	0.9992820225577889
0.5374527595519443	1.002303901382741
0.5442992915207588	1.0005635959505936
0.5511458234895734	0.9996030561374623
0.557992355458388	1.0011285522272588
0.5648388874272026	1.0002827083549486
0.5716854193960171	1.0019554862023563
0.5785319513648317	1.0006047205365034
0.5853784833336463	1.002160640789971
0.5922250153024609	0.9994650755057156
0.5990715472712754	0.9985213385328032
0.60591807924009	1.0011954909725866
0.6127646112089046	0.9996833567588608
0.6196111431777191	1.0013946950494788
0.6264576751465337	1.0031675794744406
0.6333042071153483	1.0013577076656808
0.6401507390841629	1.0037651660330977
0.6469972710529774	0.9960745329164529
0.653843803021792	1.0021558094369531
0.6606903349906067	1.0013827441406071
0.6675368669594213	1.0044192825924079
0.6743833989282358	1.0017878899319113
0.6812299308970504	1.0010786559507583
