# Stage 2 VMC summary
# N=60, nr0sq=1.0, R_match=0.8349980438651612
# h	R0_opt	eps_b	E_vmc	err_vmc
0.3	0.7004132231404959	-11.661903206745434	-0.6429097864301858	0.000824476285377785
0.36	0.7958677685950413	-5.190562324307978	1.3990180098251497	0.0004899751458602666
0.42	0.8026859504132231	-2.508821043807068	2.1234506605519283	0.0002991749834578355
0.48	0.8733223140495869	-1.2844345374292558	2.45296405301216	0.00022061490829968354
0.54	0.9329504132231407	-0.6904101347498139	2.6129754917682657	0.00017503332110471888
0.6	0.9755324266470051	-0.39572935333531395	2.7030609341877763	0.00014493207591531653
0.66	1.0538843276011283	-0.2482569927745878	2.750205095611093	0.0001268535623837078
0.72	1.0804380466093928	-0.1712259835762059	2.782373170093462	0.00011405736344854263
0.78	0.9953623438746999	-0.12778237630050066	2.8030423003682743	0.00010203297791591706
0.84	1.0763919307792364	-0.10122222240900684	2.8165485173274667	9.689316977796691e-5
0.9	1.1600992036341862	-0.0838214576334517	2.8284282272153214	9.390888481913401e-5
0.96	0.9837513660941432	-0.07176806464342464	2.8368091354267633	9.000649386216218e-5
1.02	1.015949354074724	-0.06303725534428048	2.8448099379674514	8.612874698097595e-5
1.08	1.1147425091639562	-0.05647896553214096	2.849802108665058	8.61182281043216e-5
1.14	0.6166363636363636	-0.05140147467582659	2.8584768697013825	8.458177464983974e-5
1.2	1.032121351883809	-0.04736829285119559	2.8611209576317167	8.281464606091352e-5
1.26	1.3079340939414164	-0.04409270845301708	2.866959819959001	8.285638329379677e-5
1.32	1.0819197671701877	-0.04137993157158808	2.8721787353337027	8.212625802359798e-5
1.38	1.1649195338296678	-0.03909379018360115	2.8779475195863067	8.102651732766029e-5
1.44	0.9052887895173075	-0.0371367433022375	2.8834322981807303	8.034946477625847e-5
1.5	1.062105056298709	-0.035437445294259344	2.888829354649581	8.007921257584126e-5
