d	E_tot	E_tot_err	E_vortex	E_vortex_err	E_drift	E_drift_err	E_laplacian	E_laplacian_err	E_kin	E_int	acceptance
0.0	176.48228338201875	0.06493629698237555	173.70753926928782	0.06494420482745117	173.39465849763792	0.4813315694094797	173.55109888346288	0.23617949312530392	74.19114170445667	96.12549505244445	0.514097
0.09682458365518543	176.463669214674	0.0784350698962993	173.68892510194308	0.0784416169168128	174.01747558701197	0.5366960620479501	173.85320034447753	0.27554935832757804	73.86576777645051	96.38714232213847	0.596311
0.19364916731037085	176.46964889706672	0.06291996100971388	173.6949047843358	0.06292812223760194	173.98689110965287	0.5806420836240724	173.840517401816	0.29005535307334973	73.9009281350461	96.36410765207924	0.513999
0.2904737509655563	176.41237697119226	0.06972062637132723	173.63763285846133	0.06972799162816083	173.63514274267425	0.37723187205665065	173.63638780056777	0.1782783713606071	73.91536304301111	96.2852142291483	0.480154
0.3872983346207417	176.55858268713834	0.06762845299947016	173.7838385744074	0.06763604608482227	173.4157481795781	0.5202223455593413	173.60017339192825	0.2599598076235734	74.1488693545386	96.18319016699122	0.481571
0.4841229182759271	176.5631958429296	0.06635528778817025	173.78845173019866	0.06636302654594313	174.82113183373002	0.7093506935877171	174.30479178196433	0.354558454202498	73.45168215262949	96.84025428885263	0.49484
0.5809475019311126	176.43495905655527	0.053030796222426846	173.66021494382434	0.05304047909730093	173.2851363841604	0.44791687490470455	173.4726756639924	0.23376517785780324	74.00397873807653	96.14830697059244	0.49
0.677772085586298	176.71714296960783	0.06348996438637018	173.9423988568769	0.06349805235335342	174.63466103341966	0.5011199239016898	174.28852994514827	0.25281387996279225	73.68756331051873	96.74530914772942	0.455179
0.7745966692414834	176.60803468096358	0.06274200826890022	173.83329056823266	0.06275019264114973	173.86222966520205	0.43982631480272233	173.84776011671735	0.2214509925832606	73.89276331698554	96.42039693861068	0.457909
0.8714212528966688	176.7489573117501	0.06869302262460555	173.97421319901918	0.06870049804907696	174.13087269862936	0.515915074976869	174.05305451473967	0.25815203956009064	73.81930746876068	96.62701670758955	0.483632
0.9682458365518543	176.79354543943126	0.07156595993528646	174.01880132670033	0.07157313529771965	173.57394705676546	0.4952311168700743	173.7963741917329	0.2499091397766438	74.13304492123424	96.33975798025638	0.536322
1.0650704202070398	176.8478382724545	0.06135889700602716	174.07309415972358	0.06136726584004623	174.3446595263353	0.6430511578476321	174.2088768430294	0.30667437084994437	73.7545125303755	96.78384075010108	0.434901
1.161895003862225	176.76686087192877	0.06519179260737641	173.99211675919784	0.06519966946426826	174.57733423480852	0.5390877446617311	174.29305213604442	0.2570979439037523	73.54253852641035	96.88812259821665	0.503459
1.2587195875174104	176.86896874992198	0.0579380465079824	174.09422463719105	0.057946909391681865	173.83068207831818	0.5445661572086099	173.9624533577546	0.2625404594424242	74.00048823474388	96.51455228198401	0.502765
1.355544171172596	176.86215678727638	0.0791331899540634	174.08741267454545	0.07913967922093529	173.03037900566963	0.5472085708893444	173.55889584010754	0.270909396347345	74.23272809760813	96.30895864322295	0.442948
1.4523687548277815	176.97573456156934	0.08578253734119291	174.2009904488384	0.08578852363562281	174.6694658534082	0.5179989862931627	174.43522815112328	0.25907288450296606	73.56395761308144	97.0672053548524	0.522978
1.5491933384829668	177.00149502152868	0.06791574143024089	174.22675090879775	0.06792330239988331	173.55176829210498	0.42162510648456797	173.88925960045137	0.21028159273380967	74.16105229064488	96.54477826955095	0.496569
1.6460179221381521	176.87249724350465	0.08229138223012092	174.09775313077373	0.08229762247009641	174.30525456500132	0.5793949619128934	174.20150384788755	0.28132641895253635	73.70471701811833	96.8110480178628	0.483422
1.7428425057933377	177.01075355828416	0.06965982162441128	174.23600944555324	0.06966719330955895	174.40900890307088	0.47759355361282063	174.32507163628938	0.24051017979884057	73.7695047599798	96.950525314102	0.54442
1.8396670894485232	176.96237067685118	0.08010297885379244	174.18762656412025	0.08010938956288317	173.6531850536736	0.5603083697848951	173.92040580889693	0.27709054068528166	74.00701307547334	96.60145694551856	0.468592
1.9364916731037085	176.9342205171768	0.06311519245872929	174.15947640444588	0.0631233284451089	173.36145370845125	0.5146460593526102	173.7604650564485	0.2572996334058025	74.07478334023868	96.49089881138883	0.516973
