d	E_tot	E_tot_err	E_drift	E_laplacian	E_kin	E_int	acceptance
-1.9364916731037085	-24.781980194535276	0.048770756721316706	-22.9044985702099	-23.84323938237401	328.9510484534687	-360.23048359043753	0.494636
-1.5491933384829668	-25.852577874775275	0.04761238360931726	-23.766703302404682	-24.809640588590288	329.79585031128033	-362.0772314582387	0.46247
-1.161895003862225	-25.15774346725931	0.04811403900216481	-23.876510301043865	-24.517126884152166	330.3764016958285	-361.78356604285733	0.525673
-0.7745966692414834	-26.466433412363568	0.048947362732471036	-20.421553659463456	-23.44399353591374	326.9449547963191	-359.61249082559937	0.458233
-0.3872983346207417	-27.418621434382523	0.048522863934891254	-31.664488130648166	-29.54155478251567	336.6499659102243	-370.05482824042235	0.49331
0.0	-26.86531445409328	0.04864652543054898	-22.760936697922155	-24.81312557600636	328.3362348083098	-361.0423590735124	0.452956
0.3872983346207417	-27.454578066000906	0.04905916751614458	-27.608170415507793	-27.531374240751084	333.55131130526144	-367.0403370451923	0.47531
0.7745966692414834	-27.4371075647799	0.04797597266491807	-24.45732492647305	-25.947216245625658	329.6569546551938	-363.33108142409765	0.453056
1.161895003862225	-26.277137750816387	0.04836172554366576	-23.072965224282303	-24.675051487550437	329.39992116992744	-362.01648835621853	0.449816
1.5491933384829668	-25.540639230243514	0.047412789859524615	-21.078767990530146	-23.309703610385146	326.6669386071358	-358.6704685937819	0.540181
1.9364916731037085	-23.79868341922026	0.048611293115058636	-18.823078820609794	-21.310881119916363	325.368142504648	-355.60400748126193	0.503149
