num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.0004	28439.522104439042	0.4077015100059278
200	0.0003	28429.760983942586	0.49717607564391214
200	0.0002	28420.035243267885	0.6338591479668116
200	0.0001	28416.901352027853	1.1260300609298026
200	9.0e-5	28417.523332351273	1.1256471589651031
200	8.0e-5	28418.10422884665	1.2032957593602978
200	7.0e-5	28418.51998513444	1.48808621293576
200	6.0e-5	28417.546144867065	1.5428447938767682
200	4.0e-5	28418.137273422442	2.1209914109679615
200	3.0e-5	28425.863866105818	2.7646229626079757
200	2.0e-5	28424.891503585568	4.177029671424778
200	1.0e-5	28431.411542547703	6.207855764335933
