num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.01	NaN	NaN
200	0.009	NaN	NaN
200	0.008	NaN	NaN
200	0.007	NaN	NaN
200	0.006	NaN	NaN
200	0.005	NaN	NaN
200	0.004	NaN	NaN
200	0.003	NaN	NaN
200	0.002	10812.81669734723	0.5622447058895093
200	0.001	10836.060367715447	0.13582429196150908
200	0.0009	10840.154706524998	0.13844381906197165
200	0.0008	10844.682030381498	0.15990223444241072
200	0.0007	10848.824791793384	0.1522436823750448
200	0.0006	10853.108796331026	0.16675806884148614
200	0.0005	10857.297756473727	0.1803691944752889
200	0.0004	10861.401909165423	0.1885984839223193
200	0.0003	10865.376373657098	0.2316073968072014
200	0.0002	10869.461353380195	0.290405860996735
200	0.0001	10873.1423956041	0.38900017249745533
