num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.9	6070.795187679208	280.7104787589714
200	0.8	6045.650633171158	81.55165559429135
200	0.7	6155.942690429134	32.40415539428223
200	0.6	6049.770489780538	64.90543435274627
200	0.5	6017.348577178552	81.89358398924468
200	0.4	6032.826296666099	63.1216590199361
200	0.3	5936.042927772786	194.5797481339891
200	0.2	6076.533453126294	46.60106347800069
200	0.1	6037.589542631282	127.44954084172345
200	0.09	6108.031821763986	42.113223766233226
200	0.08	6150.7294820521265	39.1287191079196
200	0.07	6188.232208347636	28.033099926317483
200	0.06	6173.682087112894	27.561348771288767
200	0.05	6140.0079049195865	35.0429539679891
200	0.04	6164.612474407466	29.302836074064178
200	0.03	6041.521489327484	44.964091606144294
200	0.02	5900.287665014233	51.86985167824899
200	0.01	6286.474610033531	89.978048497687
200	0.009	6545.2865441699905	36.15229126369773
200	0.008	7036.674218667503	29.97014031769643
200	0.007	7690.6756169587015	46.562644618633506
200	0.006	8425.491054397098	19.629735056463158
200	0.005	9284.296112837348	26.704336720662504
200	0.004	10189.32298987597	8.451239767797485
200	0.003	10742.5771882524	6.180540526379422
200	0.002	10813.145348503664	0.4017245357588498
200	0.001	10835.813417998434	0.13707601246783663
200	0.0009	10840.266311351266	0.14031907444425926
200	0.0008	10844.569352849452	0.14230015671028703
200	0.0007	10848.817368120426	0.15092332073204268
200	0.0006	10852.971382825606	0.1653186935996509
200	0.0005	10857.341966673874	0.1788595584283621
200	0.0004	10861.367709664102	0.19799465558101947
200	0.0003	10865.578069804327	0.23783883919788001
200	0.0002	10868.532898451067	0.27317289920474264
200	0.0001	10872.88317220708	0.3638818916372942
200	9.0e-5	10873.505117453557	0.41259743175387414
200	8.0e-5	10874.272663654163	0.4068009170478487
200	6.0e-5	10874.335467604618	0.543566899637685
200	4.0e-5	10875.668079334984	0.5570662413473687
200	2.0e-5	10876.679292539076	0.7348692536260862
200	1.0e-5	10876.313901868849	0.3189639723139868
