num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.001	10688.709549270856	0.12036757196431574
200	0.0009	10697.86652844152	0.1330265708069899
200	0.0008	10705.976874958056	0.14521867919829107
200	0.0007	10713.714543744501	0.15537543494184047
200	0.0006	10720.977459697537	0.16987779436160705
200	0.0005	10727.87617281181	0.19291589720171565
200	0.0004	10734.393468071816	0.21851702506289597
200	0.0003	10740.89324663072	0.2572831607497797
200	0.0002	10747.293123951724	0.3199830567084353
200	0.0001	10751.735470506379	0.45620110913876194
200	9.0e-5	10752.676598311855	0.45972319618139634
200	8.0e-5	10754.422069353364	0.5102782298369254
200	7.0e-5	10755.467363273607	0.5274517998022215
200	6.0e-5	10754.040301044184	0.6603041475179029
200	5.0e-5	10755.670015978198	0.6486705792183014
200	4.0e-5	10755.200905958425	0.7070755918257694
200	3.0e-5	10755.843037198454	0.8002011390917059
200	2.0e-5	10756.823513690126	1.0442997009349122
200	1.0e-5	10756.57682078917	1.5291884656922552
