num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.001	10771.403038513812	0.1424405856535049
200	0.0009	10769.168286477947	0.15381106030767974
200	0.0008	10767.399528251983	0.1606898985946196
200	0.0007	10765.33149387017	0.1721229113244004
200	0.0006	10763.808912698925	0.1833750081371276
200	0.0005	10762.017206930257	0.2151438254847553
200	0.0004	10761.060750194332	0.25841695656756974
200	0.0003	10759.485591733865	0.3249528776441285
200	0.0002	10758.670415063134	0.45021754283901066
200	0.0001	10759.190878589932	0.7308610986827341
200	9.0e-5	10758.350942886513	0.4578140949177427
200	8.0e-5	10757.82800582848	0.5062677691426368
200	7.0e-5	10757.563978974562	0.49368336057341894
200	6.0e-5	10758.035892429112	0.5802750699238725
200	5.0e-5	10759.461367010805	0.576182622671974
200	4.0e-5	10757.544716239743	0.6766051888482351
200	3.0e-5	10759.216152949382	0.938447787748724
200	2.0e-5	10757.03892115344	0.8810373412253188
200	1.0e-5	10759.918887524911	1.4730030639167244
