num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.001	10890.87587887275	0.12197859756847734
200	0.0009	10888.620752826333	0.12850374493375538
200	0.0008	10886.277377107506	0.13322892901449784
200	0.0007	10884.569590355712	0.13929790244761744
200	0.0006	10882.595586701531	0.1473020810235514
200	0.0005	10881.201469735255	0.16780777198176725
200	0.0005	10880.991536444555	0.1735231310560409
200	0.0004	10879.502425459728	0.18542132347000995
200	0.0003	10878.820219330706	0.2265902202658875
200	0.0002	10877.524222514261	0.2783958707979575
200	0.0001	10876.97325799966	0.4191233905622681
200	9.0e-5	10876.911408546293	0.41646175274375113
200	8.0e-5	10877.161018489118	0.4381767813410594
200	7.0e-5	10877.479390241699	0.47479439867513995
200	6.0e-5	10876.331042390997	0.4745550973836222
200	5.0e-5	10876.863868144157	0.5327208494906374
200	4.0e-5	10877.575244761876	0.6586934273980398
200	3.0e-5	10877.935425870843	0.6912556650891817
