num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.0005	28083.134819150764	0.3159499395392111
200	0.0004	28166.844447110903	0.377398790590664
200	0.0003	28241.097949353323	0.44272699917355846
200	0.0002	28305.4601366181	0.6336000069290255
200	0.0001	28362.64060570123	0.8655563731351031
200	9.0e-5	28367.32021534974	0.9174847736882771
200	8.0e-5	28372.350994638833	0.8790305144284523
200	7.0e-5	28377.846134439784	1.0085472672169213
200	6.0e-5	28384.021771729702	1.0640749745127323
200	4.0e-5	28393.016271629538	1.4181077146921026
200	3.0e-5	28399.06285598261	1.37766560199303
200	2.0e-5	28400.90217338493	1.9449016190480002
200	1.0e-5	28410.62869546801	2.6741617413453755
