num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.0004	49548.622247150764	0.6983288173226079
200	0.0003	49797.94228841194	0.7723255380730885
200	0.0002	50011.57220812929	0.9157851837282809
200	0.0001	50183.24236887914	1.3287051322577246
200	9.0e-5	50199.198067748126	1.5157061368560796
200	8.0e-5	50214.58789452664	1.7417175573547554
200	7.0e-5	50231.49609133439	1.8849455629471545
200	6.0e-5	50243.87542522404	2.0059679338140213
200	4.0e-5	50278.27588981742	2.660973079289299
200	3.0e-5	50292.28903826593	3.449434547948569
200	2.0e-5	50323.27767347162	4.604800425920456
200	1.0e-5	50352.13700092126	9.371990087436673
