R_match	MeanEnergyPerParticle	MeanSquaredEnergy	KineticEnergy	PotentialEnergy	AcceptanceRatio
0.06846531968814577	6.172634151308802	1.4073092160795173e8	2045.1462311801408	9806.311339333533	0.627994
0.09729282271473347	6.106676360995467	1.3759581877272832e8	2370.4501350638798	9354.36847804773	0.596712
0.12612032574132115	6.103742680606956	1.3741798499417016e8	2633.7302379172224	9085.45570884832	0.573007
0.15494782876790883	6.123208550886397	1.3828954039593676e8	2819.132179664428	8937.428238037417	0.556513
0.18377533179449654	6.159110357142418	1.3991484928654522e8	2936.7343437160553	8888.757541997014	0.547212
0.21260283482108425	6.20208486422121	1.4188190619054735e8	2902.401654593928	9005.60128471066	0.543964
0.24143033784767193	6.248562467017356	1.4402488779269236e8	3063.645208674275	8933.5947279994	0.54438
0.27025784087425964	6.295060428332244	1.4618673596788958e8	3136.352197184512	8950.163825213796	0.546428
0.2990853439008473	6.3391244074343405	1.4824231100513598e8	3196.608091102904	8974.510771172125	0.546185
0.327912846927435	6.38096479387305	1.5020608665146276e8	3261.2332456079075	8990.219158628988	0.54792
0.3567403499540227	6.421268521999958	1.521120985415136e8	3340.0866169675323	8988.748945272228	0.546006
0.3855678529806104	6.4709043094264755	1.5447106470551035e8	3422.6916976939374	9001.444576405524	0.5459
0.41439535600719807	6.520256699119368	1.5684045809651536e8	3525.5049924765517	8993.387869832728	0.545638
0.4432228590337858	6.584544306326564	1.599486312521175e8	3628.6690207004167	9013.656047447483	0.543452
0.47205036206037343	6.660485484551582	1.6366389218336016e8	3777.503161897163	9010.628968443065	0.541736
0.5008778650869612	6.7583954693273425	1.6851900871304873e8	3938.577239673234	9037.54206143456	0.540719
0.5297053681135488	6.8848124560877615	1.748934111831875e8	4172.760343259285	9046.079572428855	0.53744
0.5585328711401365	7.065288482823979	1.841994085265806e8	4497.9018575174	9067.452029503549	0.532102
0.5873603741667243	7.344739212082784	1.9910315858086002e8	4972.984476109647	9128.914811090139	0.523806
0.6161878771933119	7.825122870662311	2.2610853339644298e8	5782.169200094697	9242.066711576139	0.504103
