# Stage 2 VMC summary
# N=60, nr0sq=1.0, R_match=0.8349980438651612
# h	R0_opt	eps_b	E_vmc	err_vmc
0.3	0.7281208690869945	-11.661903206745434	-0.6262732051697336	0.012053980082634023
0.4	0.8210724693959724	-3.173409589834372	1.9506904713865394	0.0033048755388724394
0.5	0.8520563361656318	-1.0384814350109175	2.5205275806196497	0.001680191905619503
0.6	0.9708278254493259	-0.39572935333531395	2.6987650552021623	0.001254203181236444
0.7	0.9708278254493259	-0.19191747761920314	2.7742838643679097	0.001009526669079531
0.8	1.0121396478088718	-0.11755217602172766	2.807973676091971	0.0008867495736075165
0.9	1.1360751148875092	-0.0838214576334517	2.827737522929545	0.0008045675858240114
1.0	1.0947632925279633	-0.06566151053994929	2.8405209438562	0.0007259388016870193
1.1	1.1360751148875092	-0.054647450908751054	2.852721873646589	0.0007030448294331191
1.2	1.110255225912793	-0.04736829285119559	2.8619102068990987	0.000729093158462203
1.3	0.7591047358566537	-0.042231008214406576	2.8711613489785375	0.000694489285416105
1.4	1.0947632925279633	-0.03840884608020678	2.8793913021935755	0.0006873109782706775
1.5	1.3323062710953515	-0.035437445294259344	2.8879316369921226	0.0006530531030744527
