# Coarse sweep
R_match	Energy	Error_Energy	Drift_Energy	Error_Drift	Laplacian_Energy	Error_Laplacian
0.06846531968814577	11206.565832934422	4.670819698435924	11203.155901146129	15.208918403649097	11204.860867041489	9.457000680667228
0.09729282271473347	10994.093595446799	3.2365663554210253	10993.098946469872	14.684888893968878	10993.596270957427	8.345037207376857
0.12612032574132115	10907.442648408676	2.4649714255736788	10924.132077019112	14.356181579556928	10915.78736271288	7.7609952224357
0.15494782876790883	10880.165001309213	2.2515280750458637	10906.157662597176	13.769919631392437	10893.161331953335	7.286242953200838
0.18377533179449654	10880.511433554168	2.43385948087477	10846.05793131443	14.554773623202864	10863.284682434542	7.545844682444266
0.21260283482108425	10892.817269463485	2.1977083981425896	10878.622737329535	13.688485852362708	10885.720003396436	7.061677737540767
0.24143033784767193	10913.871915310929	2.5971296491954394	10936.96712477139	14.556465181263432	10925.419520040743	7.7143959159861755
0.27025784087425964	10935.822963346181	2.662753450327727	10935.514096451814	13.960079769071895	10935.668529898856	7.587297738016331
0.2990853439008473	10953.793386374186	2.723378928780739	10964.175819212958	14.918296469382437	10958.984602794057	7.7410681081883475
0.327912846927435	10957.221919006755	2.786703287581682	10930.550185773458	14.061434110324118	10943.886052390124	7.468975841941181
0.3567403499540227	10966.697428780682	2.6342598434603213	10960.594261069056	13.77606344838261	10963.645844925135	7.334245850733375
0.3855678529806104	10967.58900608355	2.824217620904615	10976.873463657743	14.055757379948645	10972.231234869387	7.428719229606209
0.41439535600719807	10962.89780923452	2.620120430246556	10954.70206510411	14.126402572370806	10958.79993716973	7.476692044590191
0.4432228590337858	10965.570876251411	2.5950516578976295	10955.21564466116	14.543396992336158	10960.393260454695	7.4919495625315795
0.47205036206037343	10968.426022918431	2.906414209071498	10950.704405646755	14.992268651230685	10959.565214283655	7.875154379897418
0.5008778650869612	10967.170696890003	2.7130518012678237	10959.947810988071	13.852548233928054	10963.559253939784	7.414792951251507
0.5297053681135488	10982.478938718552	2.881000759955281	10976.976572893562	14.05467435047758	10979.727755806978	7.56305612537517
0.5585328711401365	10988.180371013159	2.826725958896995	10974.647736584437	13.571125985464786	10981.414053799897	7.329964950773217
0.5873603741667243	10999.620684870295	2.9544913097483665	11007.91689650417	13.589335608425847	11003.768790685797	7.301569115087567
0.6161878771933119	11021.881240416697	3.145898853907027	11049.08040240557	13.672616202270184	11035.480821410816	7.3746519720723365

# Fine sweep
R_match	Energy	Error_Energy	Drift_Energy	Error_Drift	Laplacian_Energy	Error_Laplacian
0.10846348013753618	10951.112461323592	0.9045830034507966	10955.145158656062	4.472754481732523	10953.128809992882	2.5286074299376344
0.11335656946704908	10934.76538935156	0.8792380062986963	10926.038653142046	4.425700323243237	10930.402021244443	2.473846091466175
0.11824965879656199	10921.151200607796	0.8295934957190645	10917.23728963089	4.510626526909265	10919.194245118731	2.447826549528078
0.12314274812607491	10913.99305042944	0.8105659222746282	10912.00218572231	4.384495542273359	10912.997618076348	2.3891012019214015
0.12803583745558783	10905.31262205725	0.7743145089333398	10907.122217919832	4.360028986648429	10906.217419987408	2.344318829035154
0.13292892678510074	10896.591883721961	0.746314358807521	10891.488774733358	4.395410926581802	10894.040329226425	2.3360655492762397
0.13782201611461364	10891.66850663757	0.7167142526656441	10890.821696643445	4.3601236337183185	10891.24510164099	2.308680417193571
0.14271510544412655	10886.625469685287	0.7028731844476515	10890.533192549075	4.303367682113616	10888.579331117706	2.264202132671154
0.14760819477363946	10882.76044796948	0.7159378433776287	10880.228549939007	4.401847490989304	10881.494498952205	2.3033479357955264
0.15250128410315236	10880.601689226543	0.7059585189712899	10882.790177822722	4.363311040191669	10881.695933525687	2.2776265535382003
0.15739437343266527	10877.409561951745	0.7261423182140176	10871.3682174857	4.402709367935059	10874.388889722113	2.2796161004462774
0.1622874627621782	10876.873150830354	0.6598557767045947	10885.572893174716	4.2844407537502205	10881.223022000762	2.205026435114978
0.1671805520916911	10877.06783203482	0.7131702513911184	10870.943699689784	4.333939147963647	10874.005765862938	2.2488053950916242
0.17207364142120402	10876.113464085545	0.6908241047351596	10875.164101089713	4.308791286074039	10875.638782588077	2.228171202000102
0.17696673075071692	10877.322023118935	0.6731545349684668	10878.717393662784	4.282666960724557	10878.019708387654	2.197667769249075
0.18185982008022983	10878.666918914696	0.6901243138381424	10878.011516344319	4.305741527774037	10878.33921762937	2.210367719144064
0.18675290940974273	10879.84567997651	0.6748437092740661	10876.122705189695	4.259616825755268	10877.984192582815	2.202649225129981
0.19164599873925567	10882.006712829114	0.7507243804346485	10887.258988150104	4.40231678544704	10884.63285049021	2.2813313217086444
0.19653908806876855	10883.252826149574	0.7101442860063324	10877.634901902045	4.3064756667179935	10880.443864025203	2.220712839963222
0.20143217739828148	10886.117913460215	0.8059195671420611	10886.94912738754	4.663321822437055	10886.533520424991	2.4233036691290484

# Optimal R_match
R_opt	E_opt
0.17207364142120402	10876.113464085545
