x	y
1.239106216590051	1.116576870201826
0.7469497942456551	0.38473145843999873
0.23532397525251664	0.38305456246255476
0.6210432312949342	0.1514748618124802
0.4415263051054218	0.5471230395398756
0.19802699009053906	1.017318189655943
0.9287956275180952	0.8987460377154746
0.510495146364849	0.2326924726809148
0.9154019233384375	0.10904008700821319
0.6699565399965569	0.81599108943419
0.4730406517396214	1.1736121163308417
0.28838908528158347	1.3216319420320264
0.8177943177999187	1.2158452869752245
0.9870938275375918	0.29166556775034735
1.330180095463942	0.9789968313232369
0.3322887423194259	0.7557259938250644
0.6094651578654456	0.9667591739013885
1.1903246916371424	0.14423963753593788
0.6599948643855165	0.01790529584187195
0.05673125873140317	0.830767533209744
1.2015961055811408	0.861472317950394
0.6989816299736091	0.5434349423791284
1.1962924920313431	1.3385707387350991
1.2289067659923931	0.5757473829227311
1.3431831438180808	0.23237788918689947
0.08976292328835918	0.05019999177669729
0.43491340825116553	0.05005891069871092
0.9466481669671836	1.1092144122250054
1.1541896016400752	0.4141552392388898
0.07093515974061812	0.5257612668009516
