r	g(r)
0.0012103072956898178	0.0
0.003630921887069453	0.0
0.006051536478449089	0.0
0.008472151069828725	0.0
0.01089276566120836	0.0
0.013313380252587995	0.0
0.01573399484396763	0.0
0.018154609435347267	1.1694941003493348e-5
0.0205752240267269	1.6310781095953723e-5
0.02299583861810654	0.00011600626963142595
0.025416453209486174	0.00036297432100704013
0.027837067800865808	0.0012074247470121376
0.030257682392245445	0.002964328013840301
0.03267829698362508	0.006489225149644464
0.035098911575004714	0.012985287163823167
0.03751952616638435	0.02435803084312917
0.03994014075776399	0.04053000126011242
0.042360755349143624	0.06542535337576183
0.04478136994052326	0.10147451523586903
0.04720198453190289	0.14508074904739976
0.049622599123282526	0.2014167655285495
0.05204321371466217	0.27015965142952986
0.0544638283060418	0.3496329622568675
0.056884442897421436	0.4400026904438542
0.05930505748880107	0.5384535231581105
0.061725672080180705	0.6430154848380023
0.06414628667156035	0.7526800679285366
0.06656690126293997	0.8604371245922539
0.06898751585431961	0.9567783626591528
0.07140813044569926	1.0474427643089121
0.07382874503707888	1.1208278545312111
0.07624935962845852	1.1826028986405814
0.07866997421983815	1.227640200740367
0.08109058881121779	1.2583124897222941
0.08351120340259742	1.2755266602136686
0.08593181799397706	1.2815638214895293
0.0883524325853567	1.2757773030058335
0.09077304717673633	1.25800016891844
0.09319366176811597	1.241102023237067
0.0956142763594956	1.2154488672184478
0.09803489095087524	1.1852314808467659
0.10045550554225488	1.1499782641364231
0.10287612013363451	1.1175708480223316
0.10529673472501415	1.0864896468420353
0.10771734931639378	1.0567554095269016
0.11013796390777342	1.0316320961294805
0.11255857849915306	1.0057827546964426
0.11497919309053269	0.9808893301074865
0.11739980768191233	0.9653063129019916
0.11982042227329195	0.9473756755195215
0.1222410368646716	0.9370220836255465
0.12466165145605124	0.9286925180765228
0.12708226604743086	0.9243917423730706
0.1295028806388105	0.9211465544000547
0.13192349523019015	0.9229184955052663
0.13434410982156977	0.9262482235848035
0.1367647244129494	0.9297617816098935
0.13918533900432906	0.9371974297884
0.14160595359570868	0.9439149877927677
0.1440265681870883	0.9527114160989714
0.14644718277846794	0.9617380877951588
0.1488677973698476	0.9705765648763822
0.15128841196122722	0.9793562329447713
0.15370902655260685	0.988091277179355
0.1561296411439865	0.9931454225660263
0.15855025573536613	0.9993455023400869
0.16097087032674576	1.0080826335661572
0.1633914849181254	1.010525039751633
0.16581209950950504	1.0146370343077502
0.16823271410088467	1.0172060336169055
0.1706533286922643	1.018212433145469
0.17307394328364395	1.0187054260075827
0.17549455787502358	1.0206920615020743
0.1779151724664032	1.0181024731306867
0.18033578705778286	1.0183148272446017
0.1827564016491625	1.0156505367602917
0.1851770162405421	1.0142504344825816
0.18759763083192177	1.0139461642643817
0.1900182454233014	1.0109675170421966
0.19243886001468102	1.0076579514510833
0.19485947460606065	1.0053769382556756
0.1972800891974403	1.0052820904890691
0.19970070378881993	1.0031835853120425
0.20212131838019956	1.0011389016868861
0.20454193297157922	0.9996544033367892
0.20696254756295884	0.9982834071374744
0.20938316215433847	0.9982964427705904
0.2118037767457181	0.9981329155890231
0.21422439133709775	0.9975950444894816
0.21664500592847738	0.9990787774155087
0.219065620519857	0.9979459276049182
0.22148623511123666	1.0011075443747268
0.2239068497026163	0.9983642106132854
0.22632746429399592	0.99982741362957
0.22874807888537557	0.9993487571058488
0.2311686934767552	1.00006745956401
0.23358930806813483	1.0005525802292692
0.23600992265951445	0.9990758553420008
0.2384305372508941	0.9997838410498412
0.24085115184227374	0.9992249158573641
