# Coarse sweep
R_match	Energy	Drift_Energy	Laplacian_Energy
0.06846531968814577	6.169377930463459	5.934689357984806	6.052033644224072
0.09729282271473347	6.100265799687119	5.825923297292037	5.963094548489677
0.12612032574132115	6.097271475342543	5.791412659521308	5.944342067431845
0.15494782876790883	6.122438552535006	5.823423523421117	5.972931037977807
0.18377533179449654	6.169512416355734	5.79590131699796	5.982706866676692
0.21260283482108425	6.199502810165584	5.802598478269891	6.001050644217601
0.24143033784767193	6.24198857237729	5.818837237488008	6.030412904932609
0.27025784087425964	6.305101014599356	5.851822509304713	6.078461761952046
0.2990853439008473	6.341308116358807	5.820669522820584	6.080988819589812
0.327912846927435	6.3761463159349265	5.855323924488142	6.115735120211339
0.3567403499540227	6.416491652969537	5.873491369645623	6.144991511307571
0.3855678529806104	6.47596384233393	5.951580738075149	6.213772290204504
0.41439535600719807	6.526002157596131	5.936362529876555	6.231182343736381
0.4432228590337858	6.587176854307352	5.908427558678925	6.2478022064930405
0.47205036206037343	6.660972126631966	5.963223397086836	6.312097761859372
0.5008778650869612	6.764830825070893	5.971210553580292	6.3680206893256015
0.5297053681135488	6.882606973266619	5.99350018994436	6.438053581605639
0.5585328711401365	7.0665756731280815	6.014913116835614	6.540744394981931
0.5873603741667243	7.357977913242595	6.169210963182404	6.7635944382126265
0.6161878771933119	7.828280580882068	6.3495003911761865	7.088890486029067

# Fine sweep
R_match	Energy	Drift_Energy	Laplacian_Energy
0.0882842280189248	6.119979982486476	5.870759773765168	5.995369878126345
0.0922669751475981	6.110840457779307	5.854504415079177	5.982672436429855
0.0962497222762714	6.107295448297152	5.855695187568766	5.981495317932815
0.1002324694049447	6.105351828417951	5.84831564627446	5.976833737346466
0.104215216533618	6.103804197899767	5.834151101954175	5.968977649927313
0.1081979636622913	6.101622719086767	5.8265321618706585	5.964077440479221
0.11218071079096459	6.10301685288025	5.814831218307607	5.95892403559438
0.11616345791963789	6.1013927699638595	5.8200190351429795	5.960705902553636
0.1201462050483112	6.103503672886303	5.820305330203765	5.961904501544914
0.1241289521769845	6.102205725779594	5.811587614688079	5.9568966702339194
0.1281116993056578	6.106433843048046	5.813728933771791	5.960081388410159
0.1320944464343311	6.106541143629221	5.812985493781345	5.9597633187053445
0.1360771935630044	6.1090193279408815	5.779654607937439	5.944336967939961
0.1400599406916777	6.112099098042433	5.794991755330197	5.953545426686194
0.14404268782035098	6.114776615746617	5.788808925901146	5.951792770823942
0.1480254349490243	6.120087914919865	5.798276930703931	5.959182422811944
0.15200818207769762	6.123054886904597	5.796815495494202	5.959935191199309
0.15599092920637092	6.127768093737686	5.796563747262623	5.962165920499861
0.1599736763350442	6.131000041744455	5.7961062906179945	5.9635531661813515
0.1639564234637175	6.135455924411508	5.80899262138028	5.9722242728959944

# Optimal R_match
R_opt	E_opt
0.11616345791963789	6.1013927699638595
