# Stage 2 VMC summary
# N=60, nr0sq=1.0, R_match=0.8349980438651612
# h	R0_opt	eps_b	E_vmc	err_vmc
0.3	0.6791131463017438	-11.661903206745434	-0.6392356011832316	0.01022566920559942
0.4	0.8024907321227557	-3.173409589834372	1.952025088656026	0.003230701076074185
0.5	0.8797358293324327	-1.0384814350109175	2.516975814341092	0.0017503952249585506
0.6	0.9387425008120469	-0.39572935333531395	2.699189611020755	0.0012739542052002423
0.7	1.0352988723241432	-0.19191747761920314	2.7747441127309282	0.0010134470319933862
0.8	1.0031134151534444	-0.11755217602172766	2.8100737090009082	0.0008145270361657989
0.9	1.067484329494842	-0.0838214576334517	2.829579634555731	0.0007784169132486905
1.0	1.196226158177637	-0.06566151053994929	2.842094240365687	0.0007660045579233962
1.1	1.087868452369618	-0.054647450908751054	2.852102508340258	0.000709098973083978
1.2	1.196226158177637	-0.04736829285119559	2.8608066062991027	0.0006888831324098813
1.3	1.2241202210589093	-0.042231008214406576	2.871647591003861	0.0006963563879514439
1.4	1.244504343933685	-0.03840884608020678	2.8793432560617203	0.0006592280723340965
1.5	1.1264910009744564	-0.035437445294259344	2.887011014404304	0.0006678719186884048
