R_match	MeanEnergyPerParticle	MeanSquaredEnergy	AcceptanceRatio
0.01	967.4740494589208	2.9045144399093833e7	0.655572
0.013891764722434825	912.0692806159734	2.4139946574002564e7	0.626296
0.017783529444869647	874.8364227697882	2.1295271532086816e7	0.602491
0.021675294167304467	851.7730577531274	1.9668402641593974e7	0.583016
0.025567058889739293	833.9515428339766	1.8533886324659668e7	0.566045
0.029458823612174112	820.3395571387193	1.76951270513689e7	0.551789
0.03335058833460894	810.638349320878	1.7119440930632204e7	0.537196
0.03724235305704376	803.8021311804457	1.6720293244418439e7	0.52538
0.04113411777947859	796.9171011858982	1.6344089787869487e7	0.514246
0.0450258825019134	792.5624562404785	1.6092206027678637e7	0.503282
0.04891764722434823	788.3558340698323	1.586937464035329e7	0.494063
0.05280941194678305	785.1916703611262	1.5697303593411362e7	0.483454
0.056701176669217875	783.1137202785956	1.5580004426838472e7	0.474763
0.0605929413916527	782.0692818945394	1.5512441390537132e7	0.466953
0.06448470611408752	779.982436303106	1.5407194640051996e7	0.458402
0.06837647083652235	779.0080743773693	1.5351362727254167e7	0.449812
0.07226823555895717	778.8024860535367	1.5329946702807218e7	0.441776
0.07616000028139198	778.7197243152885	1.531462970203153e7	0.434
0.08005176500382681	779.35628727164	1.5331853326534819e7	0.426608
0.08394352972626162	779.6881335728235	1.5340382283413434e7	0.419428
0.08783529444869645	780.4285030763588	1.5365994224595731e7	0.411491
0.09172705917113128	781.5522216665419	1.5409541908759756e7	0.404432
0.09561882389356609	783.3537371816668	1.5478308731246958e7	0.397783
0.09951058861600093	784.4696302632649	1.5522889008535393e7	0.389824
0.10340235333843575	786.5840319977478	1.560944711990984e7	0.384316
0.10729411806087058	788.7786833668736	1.5701182212217338e7	0.377221
0.1111858827833054	791.6565866765832	1.5821294646040922e7	0.370938
0.1150776475057402	794.3147449732744	1.5934109148071263e7	0.363955
0.11896941222817503	797.7375803051536	1.6080417074108057e7	0.358209
0.12286117695060986	801.5003222537814	1.6243201133408032e7	0.351489
0.12675294167304468	806.4729064192096	1.6455596839325126e7	0.34624
0.1306447063954795	811.0765674939818	1.6660232739047285e7	0.340261
0.13453647111791434	816.6609235861363	1.6908410935580056e7	0.334361
0.13842823584034913	823.2224834863785	1.7201231891010307e7	0.328791
0.142320000562784	828.9156683948962	1.746720239800916e7	0.323176
0.1462117652852188	837.1609919846351	1.784178218853993e7	0.318237
0.15010353000765364	846.7001419241967	1.8288245669114277e7	0.313253
0.15399529473008847	858.224364598175	1.883077794329786e7	0.306903
0.15788705945252327	870.7426981724051	1.943886043428093e7	0.302597
0.1617788241749581	886.2198858865506	2.0206288201422114e7	0.297346
0.16567058889739292	904.1086464642967	2.111687882575746e7	0.290195
0.16956235361982774	927.3320263594521	2.2343366756308433e7	0.285833
0.17345411834226257	955.4906733021386	2.3888446657836456e7	0.277548
0.1773458830646974	993.9679734606774	2.612761625285186e7	0.271372
0.1812376477871322	1047.8194290643112	2.9421609334806375e7	0.259807
0.18512941250956702	1129.6563133243512	3.498133287205539e7	0.246216
0.18902117723200185	1272.4189305803964	4.617445320806977e7	0.227403
0.19291294195443667	1589.6809240325697	7.888460783920042e7	0.19697
0.1968047066768715	3612.195774656113	6.375686524135883e8	0.119917
0.20069647139930633	-95427.75373930245	2.708353774449327e11	0.018406
0.20458823612174115	-14424.756702397808	5.429352731373165e9	0.106629
0.20848000084417595	-4611.609511646102	5.893637415662761e8	0.145374
0.2123717655666108	-1752.56795198023	9.798907038153666e7	0.207334
0.2162635302890456	-672.2911840535089	2.0129061414611403e7	0.261908
0.2201552950114804	-218.14792329784729	5.367797919523295e6	0.2937
0.22404705973391525	7.551124587526237	2.193749541606898e6	0.313996
0.22793882445635005	133.39096541847294	1.7746452003555167e6	0.324349
0.2318305891787849	205.57073949135707	1.9573991050053886e6	0.330229
0.2357223539012197	252.6705049387067	2.259896092274166e6	0.333975
0.2396141186236545	285.99909940675474	2.5606090741895153e6	0.335949
0.24350588334608936	306.775222232933	2.8013791143003968e6	0.336625
0.24739764806852416	324.1082334687575	3.016633643130528e6	0.336615
0.251289412790959	334.7413457936298	3.1611600831791214e6	0.337869
