# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=0.7, R0_opt=1.0352988723241432, R_match=0.8349980438651612
# delta_opt=0.0573623101059166, Δτ_DMC=0.003290434620687342
#
# Δτ	Acceptance
0.01	0.90403
0.02	0.81176
0.03	0.72621
0.04	0.63895
0.05	0.55879
0.06	0.48058
0.07	0.41612
0.08	0.35221
0.09	0.29499
0.1	0.24914
0.12	0.1682
0.15	0.09108
0.2	0.0297
0.25	0.00971
#
# Δτ_opt	Δτ_DMC
0.0573623101059166	0.003290434620687342
