# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=0.4, R0_opt=0.8024907321227557, R_match=0.8349980438651612
# delta_opt=0.041996812661939144, Δτ_DMC=0.001763732273762012
#
# Δτ	Acceptance
0.01	0.86928
0.02	0.74595
0.03	0.62844
0.04	0.52059
0.05	0.4233
0.06	0.34327
0.07	0.26738
0.08	0.2067
0.09	0.16225
0.1	0.12388
0.12	0.06908
0.15	0.02948
0.2	0.00554
0.25	0.00165
#
# Δτ_opt	Δτ_DMC
0.041996812661939144	0.001763732273762012
