# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=1.5, R0_opt=1.1264910009744564, R_match=0.8349980438651612
# delta_opt=0.0593325325420379, Δτ_DMC=0.0035203494178519864
#
# Δτ	Acceptance
0.01	0.9096
0.02	0.81954
0.03	0.73059
0.04	0.64842
0.05	0.56719
0.06	0.49535
0.07	0.42728
0.08	0.36724
0.09	0.31113
0.1	0.26272
0.12	0.18334
0.15	0.09993
0.2	0.03446
0.25	0.00977
#
# Δτ_opt	Δτ_DMC
0.0593325325420379	0.0035203494178519864
