# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=0.9, R0_opt=1.067484329494842, R_match=0.8349980438651612
# delta_opt=0.05883879500863448, Δτ_DMC=0.00346200379806811
#
# Δτ	Acceptance
0.01	0.90537
0.02	0.82006
0.03	0.73096
0.04	0.64828
0.05	0.56958
0.06	0.49178
0.07	0.42765
0.08	0.36072
0.09	0.30709
0.1	0.25603
0.12	0.17523
0.15	0.098
0.2	0.03124
0.25	0.01161
#
# Δτ_opt	Δτ_DMC
0.05883879500863448	0.00346200379806811
