# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=1.0, R0_opt=1.196226158177637, R_match=0.8349980438651612
# delta_opt=0.05935723001217856, Δτ_DMC=0.0035232807547186714
#
# Δτ	Acceptance
0.01	0.90681
0.02	0.81523
0.03	0.73042
0.04	0.64863
0.05	0.56941
0.06	0.49534
0.07	0.42548
0.08	0.36455
0.09	0.30929
0.1	0.2607
0.12	0.17775
0.15	0.09758
0.2	0.03205
0.25	0.0115
#
# Δτ_opt	Δτ_DMC
0.05935723001217856	0.0035232807547186714
