# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=1.4, R0_opt=1.244504343933685, R_match=0.8349980438651612
# delta_opt=0.059452723049253295, Δτ_DMC=0.003534626277971214
#
# Δτ	Acceptance
0.01	0.90921
0.02	0.81884
0.03	0.73094
0.04	0.65268
0.05	0.56775
0.06	0.49618
0.07	0.42635
0.08	0.36746
0.09	0.31169
0.1	0.26258
0.12	0.18455
0.15	0.09867
0.2	0.03515
0.25	0.01
#
# Δτ_opt	Δτ_DMC
0.059452723049253295	0.003534626277971214
