# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=0.8, R0_opt=1.0031134151534444, R_match=0.8349980438651612
# delta_opt=0.058711780304382136, Δτ_DMC=0.003447073146510034
#
# Δτ	Acceptance
0.01	0.9067
0.02	0.81361
0.03	0.73007
0.04	0.64444
0.05	0.56302
0.06	0.49068
0.07	0.41883
0.08	0.3597
0.09	0.30343
0.1	0.25901
0.12	0.17354
0.15	0.09405
0.2	0.03345
0.25	0.00905
#
# Δτ_opt	Δτ_DMC
0.058711780304382136	0.003447073146510034
