# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=1.1, R0_opt=1.087868452369618, R_match=0.8349980438651612
# delta_opt=0.05936386104360034, Δτ_DMC=0.0035240679980038906
#
# Δτ	Acceptance
0.01	0.9094
0.02	0.82251
0.03	0.73346
0.04	0.64887
0.05	0.56904
0.06	0.49543
0.07	0.42656
0.08	0.36645
0.09	0.30929
0.1	0.26255
0.12	0.17888
0.15	0.09698
0.2	0.03105
0.25	0.01146
#
# Δτ_opt	Δτ_DMC
0.05936386104360034	0.0035240679980038906
