# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=1.2, R0_opt=1.196226158177637, R_match=0.8349980438651612
# delta_opt=0.05944082310361539, Δτ_DMC=0.003533211451235297
#
# Δτ	Acceptance
0.01	0.9079
0.02	0.81689
0.03	0.73266
0.04	0.64956
0.05	0.56566
0.06	0.49622
0.07	0.4279
0.08	0.3661
0.09	0.30961
0.1	0.26417
0.12	0.18305
0.15	0.09922
0.2	0.03093
0.25	0.00837
#
# Δτ_opt	Δτ_DMC
0.05944082310361539	0.003533211451235297
