# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=0.5, R0_opt=0.8797358293324327, R_match=0.8349980438651612
# delta_opt=0.05147995182454523, Δτ_DMC=0.0026501854398574974
#
# Δτ	Acceptance
0.01	0.89264
0.02	0.79102
0.03	0.69163
0.04	0.60026
0.05	0.51219
0.06	0.43551
0.07	0.36601
0.08	0.29871
0.09	0.25157
0.1	0.19633
0.12	0.13012
0.15	0.06468
0.2	0.01809
0.25	0.00619
#
# Δτ_opt	Δτ_DMC
0.05147995182454523	0.0026501854398574974
