# Move_all Δτ Sweep — bilayer
# N=60, nr0sq=1.0, h=1.3, R0_opt=1.2241202210589093, R_match=0.8349980438651612
# delta_opt=0.059626428372226474, Δτ_DMC=0.003555310960428254
#
# Δτ	Acceptance
0.01	0.90824
0.02	0.81774
0.03	0.73173
0.04	0.64855
0.05	0.56965
0.06	0.49735
0.07	0.42806
0.08	0.3664
0.09	0.31053
0.1	0.26358
0.12	0.18173
0.15	0.09932
0.2	0.03126
0.25	0.01072
#
# Δτ_opt	Δτ_DMC
0.059626428372226474	0.003555310960428254
