num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.0005	28083.029557708865	0.3247395777731202
200	0.0004	28166.50555988101	0.3824646391234489
200	0.0003	28240.641645381074	0.46009300878413323
200	0.0002	28305.14657824624	0.659301244938834
200	0.0001	28362.774604313072	0.8503902227069127
200	9.0e-5	28369.362559338166	0.9493086171011905
200	8.0e-5	28371.601834712335	0.9601017745164381
200	7.0e-5	28377.25250576954	0.9780878609921662
200	6.0e-5	28385.56150440691	1.073028877243578
200	4.0e-5	28392.534129711323	1.37581533487438
200	3.0e-5	28399.572090022604	1.3612964329581212
200	2.0e-5	28404.746013313998	1.7839857663158551
200	1.0e-5	28409.20631516574	2.733193100148514
